,,,,,,,,,,,,End To End Performance,,,,Shipping Instruction Updating Date & Status,,,,,,,Key,
LC,Jenis Armada,Price,Inap Loading,Inap Bongkar,Buruh Bongkar,Multidrop,Other,Total Price,Supplying Site,Name Vendor,Last Status,Performance,Standard (Days),Actual (Days),Deadline,1=NEW,2=RECEIVE,3=CONFIRM,4=VALIDATE,5=BILLED,6=SENT,7=PAID,Code Supply,Name Supply
250112B032,CDD LONG CHASSIS,4000000,0,0,0,0,0,4000000,F001 - WH FBI JABABEKA,PT.AMANAH TRANSMULIA MANDIRI LOGISTIK,7,ON SCHEDULE,30,0,12.02.2026,12.01.2026,15.01.2026,19.01.2026,19.01.2026,27.01.2026,27.01.2026,,F001,WH FBI JABABEKA
250114B049,CONT-20,10750000,0,0,0,0,0,10750000,F001 - WH FBI JABABEKA,PT. SENTOSAPRIMA ABADI,6,LATE,26,160,12.02.2026,16.01.2026,04.02.2026,27.03.2026,28.03.2026,07.05.2026,25.05.2026,,F001,WH FBI JABABEKA
251231H005,CDD LONG CHASSIS,3800000,0,0,0,0,0,3800000,F023 - WH FBI SIDOARJO,PT.DHANESWARA EXPRES,7,ON SCHEDULE,28,0,02.02.2026,04.01.2026,04.01.2026,13.01.2026,15.01.2026,26.01.2026,26.01.2026,,F023,WH FBI SIDOARJO
251231L010,CONT-20,9300000,0,0,0,0,0,9300000,F001 - WH FBI JABABEKA,PT. SENTOSAPRIMA ABADI,7,ON SCHEDULE,40,0,11.02.2026,01.01.2026,21.01.2026,01.04.2026,01.04.2026,06.04.2026,14.04.2026,,F001,WH FBI JABABEKA
260101L012,FUSO,3335000,0,0,0,0,0,3335000,F001 - WH FBI JABABEKA,PT. DINAMIKA MAKMUR SENTOSA,7,ON SCHEDULE,29,0,31.01.2026,01.01.2026,04.01.2026,15.01.2026,15.01.2026,26.01.2026,26.01.2026,,F001,WH FBI JABABEKA
260101L013,FUSO,19350000,0,0,0,0,0,19350000,F001 - WH FBI JABABEKA,PT. SATRIA PIRANTI PERKASA,7,ON SCHEDULE,30,0,01.02.2026,01.01.2026,08.01.2026,27.01.2026,27.01.2026,02.02.2026,10.02.2026,,F001,WH FBI JABABEKA
260102H009,CDD LONG CHASSIS,3800000,0,0,0,0,0,3800000,F023 - WH FBI SIDOARJO,PT.DHANESWARA EXPRES,7,ON SCHEDULE,28,0,31.01.2026,02.01.2026,04.01.2026,13.01.2026,15.01.2026,26.01.2026,26.01.2026,,F023,WH FBI SIDOARJO
260102L002,FUSO,1977500,0,0,0,0,500000,2477500,F001 - WH FBI JABABEKA,PT. DUTA MEDIA MANDIRI,7,ON SCHEDULE,28,0,31.01.2026,02.01.2026,04.01.2026,06.01.2026,09.01.2026,13.01.2026,13.01.2026,,F001,WH FBI JABABEKA
260102L003,CDD LONG CHASSIS,1600000,0,0,0,0,0,1600000,F001 - WH FBI JABABEKA,PT. SATRIA PIRANTI PERKASA,7,ON SCHEDULE,28,0,31.01.2026,02.01.2026,04.01.2026,18.02.2026,19.02.2026,24.02.2026,24.02.2026,,F001,WH FBI JABABEKA
260103L009,FUSO,14750000,0,0,0,0,0,14750000,F001 - WH FBI JABABEKA,PT. SATRIA PIRANTI PERKASA,7,ON SCHEDULE,30,0,03.02.2026,03.01.2026,08.01.2026,27.01.2026,27.01.2026,02.02.2026,10.02.2026,,F001,WH FBI JABABEKA
260103L027,FUSO,4255000,0,0,0,0,0,4255000,F001 - WH FBI JABABEKA,PT.SIASAT CEPAT MUDA,7,ON SCHEDULE,28,0,01.02.2026,03.01.2026,08.01.2026,09.01.2026,09.01.2026,14.01.2026,23.01.2026,,F001,WH FBI JABABEKA
260105H001,CDD LONG CHASSIS,3800000,0,0,0,0,0,3800000,F023 - WH FBI SIDOARJO,PT.DHANESWARA EXPRES,7,ON SCHEDULE,28,0,03.02.2026,05.01.2026,09.01.2026,13.01.2026,15.01.2026,26.01.2026,26.01.2026,,F023,WH FBI SIDOARJO
260105L006,WINGBOX,5650000,0,0,0,0,0,5650000,F001 - WH FBI JABABEKA,PT. DUTA MEDIA MANDIRI,7,ON SCHEDULE,29,0,04.02.2026,05.01.2026,09.01.2026,14.01.2026,14.01.2026,19.01.2026,21.01.2026,,F001,WH FBI JABABEKA
260105L007,WINGBOX,5650000,0,0,0,0,0,5650000,F001 - WH FBI JABABEKA,PT. DUTA MEDIA MANDIRI,7,ON SCHEDULE,29,0,04.02.2026,05.01.2026,09.01.2026,14.01.2026,14.01.2026,19.01.2026,21.01.2026,,F001,WH FBI JABABEKA
260106L019,CONT-20,9300000,0,0,0,0,0,9300000,F001 - WH FBI JABABEKA,PT. SENTOSAPRIMA ABADI,7,ON SCHEDULE,40,0,16.02.2026,06.01.2026,20.01.2026,01.04.2026,01.04.2026,06.04.2026,06.04.2026,,F001,WH FBI JABABEKA
