"Bulan Bongkar 1","Supply site","No SI","Vendor","TYPE","SHIPPING LINE","Delivery Date","COMPANY"
"6","Cikande","260618HS009","DINOYO","Cont-40","H026 WH HCI SIDOARJO","18 Jun 2026",""
"2","NDC HCI Cikupa","260131H028","AMJ","CDDL","H044 WH HCI BANYUMAS","31 Jan 2026",""
"1","NDC HCI Cikupa","260131H044","BS","CDDL","H027 WH HCI KIARA CONDONG BDG","31 Jan 2026",""
"2","NDC HCI Cikupa","260131H045","LOGISLY","CDDL","H028 WH HCI YOGYAKARTA","31 Jan 2026",""
"2","NDC HCI Cikupa","260131T014","SPA","Cont-40","H015 WH HCI SAMARINDA","31 Jan 2026",""
"2","NDC HCI Cikupa","260131T015","DMM","WINGBOX","H026 WH HCI SIDOARJO","31 Jan 2026",""
"2","NDC HCI Cikupa","260131T049","JPT","Cont-40","H026 WH HCI SIDOARJO","31 Jan 2026",""
"2","NDC HCI Cikupa","260131T016","TPIL","Cont-40","H013 WH HCI BANJARMASIN","31 Jan 2026",""
"2","NDC HCI Cikupa","260131T047","OKE","WINGBOX","H007 WH HCI MEDAN","31 Jan 2026",""
"2","NDC HCI Cikupa","260131T050","JPT","Cont-40","H026 WH HCI SIDOARJO","31 Jan 2026",""
"2","NDC HCI Cikupa","260201H003","API","WINGBOX","H027 WH HCI KIARA CONDONG BDG","1 Feb 2026",""
"Type D","NDC HCI jababeka","260113D081","AJSJ","CDDL","J304 ST HCIR INFORMA PALEM SEMI","13 Jan 2026",""
"Type D","NDC HCI jababeka","260113D082","AJSJ","CDDL","J731 ST HCIR SELMA DTC DEPOK","13 Jan 2026",""
"Type D","NDC HCI jababeka","260113D083","AJSJ","CDDL","J307 ST HCIR INFORMA LP PURI","13 Jan 2026",""
"Type D","NDC HCI jababeka","260113D085","AJSJ","CDDL","J310 ST HCIR INFORMA MAL ARTHA GADING","13 Jan 2026",""
"Type D","NDC HCI jababeka","260113D087","AJSJ","CDDL","J30C ST HCIR INFORMA PEJATEN VILLAG","13 Jan 2026",""
"Type D","NDC HCI jababeka","260113D088","AJSJ","CDDL","J30I ST HCIR INFORMA LP BINTARO","13 Jan 2026",""
"2","NDC HCI jababeka","260131T042","BJL","Cont-20","H040 WH HCI PANGKAL PINANG","30 Jan 2026",""
"2","NDC HCI jababeka","260131H020","API","WINGBOX","H027 WH HCI KIARA CONDONG BDG","31 Jan 2026",""
"2","NDC HCI jababeka","260131H021","BS","WINGBOX","H005 WH INFORMA PALEMBANG","31 Jan 2026",""
"2","NDC HCI jababeka","260131H022","SCM","WINGBOX","H030 WH HCI SEMARANG","31 Jan 2026",""
"2","NDC HCI jababeka","260131H023","SCM","WINGBOX","H030 WH HCI SEMARANG","31 Jan 2026",""
"2","NDC HCI jababeka","260131H024","BS","CDDL","H055 WH HCI HUB TEGAL","31 Jan 2026",""
"2","NDC HCI jababeka","260131H026","API","WINGBOX","H044 WH HCI BANYUMAS","31 Jan 2026",""
